"","droga_costeo","n_observaciones","costo_mensual_mediano","costo_mensual_promedio"
"1","desvenlafaxina",15,56973,53821.7333333333
"2","estradiol",6,30143.5714285714,28673.9285714286
"3","estradiol_gel",2,85827,85827
"4","estriol",3,26845,27683.3333333333
"5","isoflavonas",9,13995,14186.2222222222
"6","melatonina",12,15169.25,19426.6964285714
"7","oxazepam",1,24557.25,24557.25
"8","paroxetina",36,49251,46839.4444444444
"9","prasterona",8,57145.7142857143,57153.4821428571
"10","progesterona",13,124640.714285714,99800.1758241758
"11","promestriene",3,31784,31704
"12","sertralina",44,32526.5,37666.3977272727
"13","tibolona",7,46853,47689
"14","venlafaxina",39,29786,30123.7765567766
